uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,Mappings|SAME-AS|PIH|Number,Mappings|SAME-AS|CIEL,Mappings|NARROWER-THAN|CIEL,Mappings|BROADER-THAN|CIEL,Mappings|SAME-AS|AMPATH,Mappings|NARROWER-THAN|AMPATH,Mappings|SAME-AS|ICD-10-WHO,Mappings|NARROWER-THAN|ICD-10-WHO,Mappings|BROADER-THAN|ICD-10-WHO,Mappings|SAME-AS|ICD-11-WHO,Mappings|NARROWER-THAN|ICD-11-WHO,Mappings|SAME-AS|LOINC,Mappings|NARROWER-THAN|LOINC,Mappings|BROADER-THAN|LOINC,Mappings|SAME-AS|org.openmrs.module.emrapi,Mappings|SAME-AS|RxNORM,Mappings|SAME-AS|SNOMED CT,Absolute high,Critical high,Normal high,Absolute low,Critical low,Normal low,Units,Display precision,Allow decimals,Complex data handler
cf82933b-3f3f-45e7-a5ab-5d31aaee3da3,,TRUE,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488b58ff-64f5-4f8a-8979-fa79940b1594,,FALSE,,,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163266AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Current health facility,,A reference to the same facility the patient was seen in. A generic answer.,Misc,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160479AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Private health care clinic/facility,,,Misc,N/A,,,,,,,,,,,,,,,,,,,394794000,,,,,,,,,,
165091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Long duration,,Characterization of a time period involving an extended period of time.,Misc,N/A,,,,,,,,,,,,,,,,,,,260384008,,,,,,,,,,
164352AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Relationship to patient,,,Question,Coded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164164AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Surgical Outpatient Department,SOPD,,Misc,N/A,,,,,,,,,,,,,,,,,,,405607001,,,,,,,,,,
159937AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Maternal and child health program,MCH program,The program which deals with the health issues of mother and children.,Misc,N/A,,,,159937,,,,,,,,,,,,,,,,,,,,,,,,,
165090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Recent,,"A description of time frame, implying something occurring close to the present time.",Misc,N/A,,,,,,,,,,,,,,,,,,,6493001,,,,,,,,,,
165197AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Province of residence,,Name of province of residence.,Question,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159799AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,cough lasting more than 2 weeks,,Patient has had a cough lasting more than two weeks as positive screening question for Tuberculosis.,Symptom/Finding,N/A,,,2573,,,,,,,,,,,,,,,,,,,,,,,,,,
162724AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Health facility name,,Generic field to capture a health facility name,Question,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164400AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,HIV test date,,When was the HIV test performed?,Question,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160578AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Male who has sex with men,MSM,Risk factor for HIV,Finding,N/A,,,,160578,,,,,,,,,,,,,,,,,,,,,,,,,
